ID|obraz URL|nazwa|kategorie|cena brutto|marka|podsumowanie|opis|ilość|widoczność(0)|podatek(1)|dostawca
1|https://assets.adidas.com/images/w_600,f_auto,q_auto/fdd2ed4315b74f6ea506acb600b20504_9366/OZWEEGO_Shoes_Bezowy_FX6029_01_standard.jpg\https://assets.adidas.com/images/w_600,f_auto,q_auto/85c5a8551bc64690a5aaaa9300cbe16e_9366/OZWEEGO_Shoes_Szary_EE6461_01_standard.jpg\https://assets.adidas.com/images/w_600,f_auto,q_auto/26957f977ecf4119879caa7600ff0f1b_9366/OZWEEGO_Shoes_Bialy_EE6464_01_standard.jpg\https://assets.adidas.com/images/w_600,f_auto,q_auto/86dbbccdb3db4f5f846eaa7600ee8b42_9366/OZWEEGO_Shoes_Czern_EE6999_01_standard.jpg\https://assets.adidas.com/images/w_600,f_auto,q_auto/c026789d26bb4531b8f8ae9400f684c7_9366/OZWEEGO_Shoes_Czerwony_GY6801_01_standard.jpg\https://assets.adidas.com/images/w_600,f_auto,q_auto/1347b09969e149cfa403aed3011dfa13_9366/OZWEEGO_Shoes_Zielony_H03402_01_standard.jpg|OZWEEGO Shoes|Sneakersy\Buty|549|Originals|Inspirowane archiwalnymi modelami buty OZWEEGO, które zapewniają wyjątkowy komfort.|Które buty dziś założyć? Zwykle to trudna decyzja. Chyba, że masz buty adidas OZWEEGO. Podrasuj swój look i ciesz się autentycznym stylem dzięki śmiałym liniom, które nawiązują do klimatu z przełomu XX i XXI wieku.  Trzeba to powiedzieć jasno: gdyby to były zawody w kategorii styl, masz bezapelacyjnie złoty medal. A czy wspominaliśmy już o potrójnej amortyzacji, która gwarantuje niezrównany komfort? Podeszwa środkowa z pianki EVA z amortyzacją Adiprene i Adiprene+ zapewnia wygodę na każdym kroku.|0|0|1|1
2|https://assets.adidas.com/images/w_600,f_auto,q_auto/e871521fbe724ca0b713ad7400c3e265_9366/ZX_5K_Boost_Shoes_Czern_GX8664_01_standard.jpg|ZX 5K Boost Shoes|Sneakersy\Buty|679|Originals|Progresywne buty w nowoczesnym stylu.|Jeżeli musisz zdecydować się na styl lub innowacyjność, co wybierzesz? Głupie pytanie. Nie powinno się być zmuszonym do takiego wyboru. Po prostu załóż buty adidas ZX 5K Boost. Model wzorowany na innowacyjnym duchu designu ZX ma podeszwę środkową Boost na całej długości, otoczoną półprzezroczystym wykończeniem. Zamszowe nakładki i odblaskowe detale wyróżniają się na siateczkowej cholewce, nadając całości błyszczący styl.|20|0|1|1
3|https://assets.adidas.com/images/w_600,f_auto,q_auto/15f901c90a9549d29104aae700d27efb_9366/Superstar_Shoes_Czern_EG4959_01_standard.jpg|Superstar Shoes|Sneakersy\Buty|549|Originals|Autentyczne niskie buty z osłoną palców w kształcie muszli.|Stworzone pierwotnie w latach 70. na koszykarskie parkiety. Królujące wśród hiphopowców w latach 80. Buty adidas Superstar obecnie stanowią znak rozpoznawczy entuzjastów miejskiego stylu. Znana na całym świecie osłona palców w kształcie muszli spełnia swoją funkcję, zapewniając styl i ochronę. Zupełnie tak samo, jak na koszykarskich parkietach lata temu.  Teraz, niezależnie od tego, czy jesteś na festiwalu, czy chodzisz po ulicy, możesz się dobrze bawić bez obawy o nadepnięcie.  Detal w postaci ząbkowanych 3 pasków i okienko z logo adidas Superstar nadają Ci autentyczny styl OG.|20|0|1|1
4|https://assets.adidas.com/images/w_600,f_auto,q_auto/a90ce55ba49643acaf3eaecc0136c146_9366/Stan_Smith_Shoes_Szary_HP5581_01_standard.jpg|Stan Smith Shoes|Sneakersy\Buty|449|Originals|Buty adidas x Disney wykonane częściowo z materiałów pochodzących z recyklingu.|Od ponad 50 lat buty adidas Stan Smith umacniają swoją pozycję ikony stylu. Teraz klasyczna sylwetka zyskuje magiczną odsłonę w postaci butów inspirowanych postacią kapitana Haka z disnejowskiego filmu „Piotruś Pan”. Zrób wrażenie dzięki cholewce z syntetycznego zamszu w kolorze głębokiej czerwieni, która nada barwny akcent każdej stylizacji. Naszywki na pięcie przypominają, że „it’s not easy being green”, dlatego ważne jest, aby robić wszystko, co w naszej mocy dla dobra planety.  Cholewka zawiera co najmniej 50% materiałów pochodzących z recyklingu. Ten produkt stanowi tylko jedno z naszych rozwiązań, które pomogą wyeliminować zanieczyszczenie plastikiem.|20|0|1|1
5|https://assets.adidas.com/images/w_600,f_auto,q_auto/97f86eede1374615a058a81700a27444_9366/Buty_Gazelle_Czern_CQ2809_01_standard.jpg|Buty Gazelle|Sneakersy\Buty|449|Originals|Nowoczesna wersja oryginalnych butów piłkarskich.|Ku uciesze kibiców i fanów ulicznej mody ten piłkarski model z lat 60. ma jeszcze co nieco do powiedzenia. To wierna reedycja ulepszonych butów Gazelle z 1991 roku z wykorzystaniem autentycznych materiałów, faktur i proporcji. Cholewkę wykonano ze świńskiego nubuku ze stonowanym kolorystycznie wykończeniem i srebrzystym napisem.|20|0|1|1
6|https://assets.adidas.com/images/w_600,f_auto,q_auto/c489d8f2793143aeb63dae890023defb_9366/Ultraboost_DNA_XXII_Lifestyle_Running_Sportswear_Capsule_Collection_Shoes_Czern_GX6849_01_standard.jpg|Ultraboost DNA XXII Lifestyle Running Sportswear Capsule Collection Shoes|Sneakersy\Buty|749|Sportswear|Lekkie buty do biegania wykonane częściowo z materiałów pochodzących z recyklingu.|Ciesz się komfortem adidas Ultraboost w każdej chwili wypełnionego aktywnościami dnia. Te buty do biegania mają setki kapsułek BOOST, które łączą się, zapewniając niewiarygodny zwrot energii i niezawodną amortyzację. Buty w trailowym stylu mają przypominające skórę nakładki, które wspierają stopę i maksymalizują trwałość. Gumowa podeszwa zewnętrzna z ząbkowanymi elementami gwarantuje przyczepność na nierównych ścieżkach i śliskich nawierzchniach. Wybierz buty, które dodadzą Ci pewności siebie.  Cholewka uszyta z serii materiałów pochodzących z recyklingu zawiera co najmniej 50% materiałów z odzysku. Ten produkt stanowi tylko jedno z naszych rozwiązań, które pomogą wyeliminować zanieczyszczenie plastikiem.|20|0|1|1
7|https://assets.adidas.com/images/w_600,f_auto,q_auto/aea1fe62e0e641f0987aac6801150f19_9366/Terrex_Snowpitch_COLD.RDY_Hiking_Shoes_Czern_FV7957_01_standard.jpg|Terrex Snowpitch COLD.RDY Hiking Shoes|Sneakersy\Buty|599|TERREX|Ocieplane buty hikingowe do noszenia w chłodne dni.|Wyjście na dwór przynosi korzyści o wszystkich porach roku. Ocieplane i odporne na pogodę buty hikingowe adidas Terrex pomogą Ci pokonywać jeszcze dłuższe trasy w chłodne dni. Eksplorowanie oblodzonych szlaków i zaśnieżonych ulic to pestka, gdy zadbasz o ciepły, suchy komfort stóp. Miejski styl nadaje butom nowoczesny, codzienny charakter.|20|0|1|1
8|https://assets.adidas.com/images/w_600,f_auto,q_auto/3ab7405bd686477e8dacaeef00ed4e6a_9366/Eastrail_2.0_Mid_RAIN.RDY_Hiking_Shoes_Czern_GY4174_01_standard.jpg|Eastrail 2.0 Mid RAIN.RDY Hiking Shoes|Sneakersy\Buty|499|Performance|Lekkie i wytrzymałe buty na wędrówki wykonane częściowo z materiałów pochodzących z recyklingu.|Dzięki butom do wycieczek pieszych adidas możesz pominąć okres odpoczynku i przejść od razu do dobrych rzeczy: weekendowych wędrówek i przygód z przyjaciółmi. Od razu po wyjęciu z pudełka otulają Twoją stopę wspierającym krojem i amortyzowanym komfortem. RAIN.RDY nie przepuszcza wilgoci, więc możesz biegać po kałużach, nie ryzykując przemoknięcia stóp. Podeszwa zewnętrzna Traxion zapewnia przyczepność we wszystkich kierunkach.  Cholewka zawiera co najmniej 50% materiałów pochodzących z recyklingu. Ten produkt stanowi tylko jedno z naszych rozwiązań, które pomogą wyeliminować zanieczyszczenie plastikiem.|20|0|1|1
9|https://assets.adidas.com/images/w_600,f_auto,q_auto/4c70105150234ac4b948a8bf01187e0c_9366/Samba_OG_Shoes_Czern_B75807_01_standard.jpg|Samba OG Shoes|Sneakersy\Buty|549|Originals|Klasyczny look i komfort autentycznego modelu Samba.|Model Samba, który narodził się na boisku, stał się ponadczasową ikoną stylu miejskiego. Te buty pozostają wierne swojej historii za sprawą cholewki z miękkiej skóry z zamszowymi nakładkami.|20|0|1|1
10|https://assets.adidas.com/images/w_600,f_auto,q_auto/965dac188b33488084a0ac01010f9472_9366/Terrex_Trailmaker_Mid_COLD.RDY_Hiking_Shoes_Czern_FX9286_01_standard.jpg|Terrex Trailmaker Mid COLD.RDY Hiking Shoes|Sneakersy\Buty|679|TERREX|Lekkie, ciepłe buty hikingowe.|Mroźne i zimowe warunki to nie problem, gdy nosisz buty adidas Terrex Trailmaker Mid Hiking, zaprojektowane jako wyjątkowo uniwersalny model. Ich lekki, elastyczny materiał i wodoodporna membrana z zimową wyściółką są doskonale dopasowane do stóp. Dzięki wodoodpornej izolacji PrimaLoft® i COLD.RDY zachowasz ciepły i suchy komfort nawet podczas wędrówek w zimne, deszczowe dni.|20|0|1|1
